label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12
0	787 m^2	-0.2788	Fremont	tennis	0.091	-0.4693	-497	-356	-1256	0.0957	-270	Statistics	1503
3	-939 m^2	-0.2339	Modesto	soccer, football	-1.2302	1.4699	-632	984	1367	2.7174	1119	Technology and Information Management	936
1	363 m^2	0.215	Santa Clarita	motor sports	-0.3026	2.15	928	1856	2657	-0.5799	101	Computer Science	-982
0	-664 m^2	1.5329	Los Angeles	motor sports	0.5832	0.2778	-385	-708	-1814	0.7322	378	Computational Media	148
5	615 m^2	0.459	Irvine	running	0.4731	0.2295	1169	948	194	1.1134	740	Bioengineering	241
5	832 m^2	1.0139	Stockton	running	1.6869	-0.7055	189	141	789	1.7248	1152	Electrical Engineering	1371
3	-319 m^2	?	Modesto	soccer	-0.3255	1.5298	-433	1193	-497	-1.3053	1146	Bioengineering	-233
2	1879 m^2	-0.0081	SANTA ANA	baseball	0.5255	0.7832	185	-899	1593	0.0757	1073	Games and Playable Media	-824
0	-186 m^2	1.7507	Riverside	tennis	0.1858	0.3383	-1367	436	107	1.0814	913	Computer Engineering	-1245
4	54 m^2	1.3519	Fresno	track & field	0.9953	0.1802	1723	1622	2123	-0.0804	-711	Bioinformatics	-664
3	303 m^2	0.0333	San Jose	football	0.4107	0.6549	1631	-2383	1502	1.2098	1478	Robotics Engineering	-99
0	738 m^2	0.2344	Los Angeles	ice hockey	0.8939	0.6791	678	953	-375	1.8178	-355	Computer Game Design	508
5	1957 m^2	0.6264	Irvine	running	-0.6063	1.6146	1036	1108	-447	0.5038	2462	Bioengineering	502
2	-398 m^2	0.5039	Oakland	baseball	1.1004	1.1658	982	1630	538	1.3675	245	Statistics	-535
0	-289 m^2	1.437	lOS aNGELES	tennis	-0.0168	0.6613	-612	1769	-483	0.31	120	Computer Engineering	479
0	-877 m^2	-0.3072	Los Angeles	tennis	1.7548	-0.3779	-1809	-863	-720	1.6698	-883	Computer Engineering	-148
0	268 m^2	1.3328	Chula Vista	ice hockey	0.2161	0.5566	310	478	441	0.7184	-1008	Computational Media	342
1	1533 m^2	0.9748	Santa Clarita	motor sports	1.1208	1.0252	109	280	188	-0.8427	69	Computer Science	1321
4	1307 m^2	1.3722	Santa Clarita	badminton	0.7877	-0.1219	819	517	132	-0.4464	-1076	Bioinformatics	546
4	663 m^2	0.2429	San Francisco	badminton	1.023	-0.1288	-242	2044	1649	0.406	598	Bioinformatics	766
1	1243 m^2	0.3971	Santa Clarita	motor sports	-0.2701	-0.0379	-473	-332	893	0.4254	-622	Computer Science	680
1	913 m^2	0.3595	Santa Clarita	motor sports	-0.0969	0.3938	-476	1571	382	0.7859	716	cOMPUTER sCIENCE	592
2	842 m^2	0.3789	Stockton	volleyball	-0.564	1.2596	-892	2114	80	2.648	2328	Statistics	627
0	1063 m^2	-0.006	Chula Vista	ice hockey	1.0978	1.2116	-805	-350	-337	1.1771	693	computer game design	-349
4	488 m^2	0.1191	Fresno	track & field	0.1442	-0.8956	786	1408	183	0.2452	795	Human Computer Interaction	-223
5	1137 m^2	1.1614	Sacramento	running	0.2745	0.8374	NULL	161	-1292	2.1028	1284	Natural Language Processing	378
5	851 m^2	1.2261	Sacramento	golf	-0.0244	0.3291	718	432	545	-1.0902	1920	Natural Language Processing	-1066
5	132 m^2	0.8176	Sacramento	running	1.373	0.6513	-47	-1468	1033	0.7392	360	Electrical Engineering	1389
3	-520 m^2	1.0867	San Jose	basketball, soccer	0.9681	1.3718	1307	46	-425	-0.6042	184	Computer Game Design	303
0	-218 m^2	0.4884	Bakersfield	tennis	0.3625	0.5327	293	-318	1422	-0.0181	262	Applied Mathematics	1935
5	1262 m^2	1.4249	Irvine	golf	0.5102	-0.3433	236	-456	-138	2.1417	1708	Electrical Engineering	34
3	1152 m^2	1.1273	San Diego	baseball, volleyball	1.8646	0.8604	1961	-208	2177	-0.462	-70	Technology and Information Management	-704
0	-673 m^2	1.0237	San Jose	tennis	0.5304	0.5032	1590	338	-1590	0.4296	567	Computational Media	549
3	979 m^2	0.9378	Modesto	football, soccer	-0.0003	1.2726	159	1252	1677	-0.8748	311	Robotics Engineering	1360
5	433 m^2	1.272	Sacramento	golf	0.2171	1.434	1440	740	-1064	-0.8833	2175	Electrical Engineering	-269
2	190 m^2	2.0469	Oakland	volleyball, boxing	1.415	0.5629	886	-543	1913	0.2811	-145	Statistics	-183
1	2199 m^2	1.3889	Santa Clarita	motor sports	1.4084	1.0582	392	481	-1442	0.3491	2336	Computer Science	-541
1	-874 m^2	1.3884	San Francisco	motor sports	1.3178	-0.912	-967	2797	2865	1.2719	-205	COMPUTER SCIENCE	-39
0	-705 m^2	0.3087	Chula Vista	tennis	-0.8111	2.2696	-366	1921	-198	1.4585	2389	Computational Media	84
5	-357 m^2	0.1545	Sacramento	golf	0.9051	-0.6574	885	232	-941	1.0135	1406	Bioengineering	63
3	1101 m^2	0.0303	San Bernardino	ice hockey	N/A	0.0067	940	-260	1894	1.5606	-266	Technology and Information Management	687
4	1712 m^2	1.0323	Moreno Valley	track & field	0.5967	0.198	-683	1400	1595	-0.2853	706	Bioinformatics	-384
2	-1082 m^2	-0.0633	Stockton	baseball, volleyball	0.7196	0.2013	1612	-268	855	-0.4727	-259	Games and Playable Media	596
2	-1439 m^2	0.4265	Oakland	boxing	2.6597	0.1233	-214	822	-73	-0.8034	1223	Natural Language Processing	1020
3	-846 m^2	1.5623	San Bernardino	basketball, football	0.3974	0.4568	23	702	778	0.9903	797	Robotics Engineering	636
1	-304 m^2	0.8634	Santa Clarita	motor sports	0.9402	1.1323	1378	958	1333	-0.2829	790	Computer Science	289
1	521 m^2	0.6719	Santa Clarita	motor sports	0.8785	2.0891	567	-381	2953	0.1217	-100	Computer Science	887
1	84 m^2	0.9673	Santa Clarita	motor sports	-0.0645	0.294	-173	1612	1471	1.371	1601	Computer Science	-428
1	1169 m^2	0.466	Santa Clarita	motor sports	0.2383	0.496	965	-318		0.8077	1141	Computer Science	799
3	2527 m^2	0.7505	San Diego	basketball, soccer	1.1751	-0.1499	688	-598	207	1.8685	924	Technology and Information Management	440
3	-748 m^2	0.0123	san jose	basketball, soccer	0.575	0.3537	747	1574	162	-0.6064	1761	Biotechnology	344
5	1820 m^2	0.5528	Irvine	running	0.5193	0.868	678	-1357	-1263	0.8503	597	Electrical Engineering	-365
3	583 m^2	1.2481	San Diego	football, basketball	0.039	0.5404	-91	153	233	0.5288	-422	Biotechnology	263
0	109 m^2	-0.101	Fremont	ice hockey	-0.6619	0.5846	2251	1704	168	0.4858	416	Computer Game Design	693
4	110 m^2	1.1943	Anaheim	badminton	0.1469	0.1594	1823	1185	1277	1.3918	829	Bioinformatics	-564
4	707 m^2	0.196	Fresno	badminton	0.0645	-0.4677	1209	611	1748	0.026	1244	Bioinformatics	-190
1	467 m^2	1.0402	Santa Clarita	motor sports	-0.0528	?	-324	-442	1115	1.009	139	Computer Science	233
5	1580 m^2	0.0298	Long Beach	golf	-1.1781	-1.1309	366	-141	27	1.3277	871	Natural Language Processing	-347
1	575 m^2	0.6725	Santa Clarita	motor sports	-0.2657	0.8016	-310	1243	1528	0.6034	1128	Computer Science	-496
0	591 m^2	0.5111	Fremont	tennis	-0.4439	2.1068	-107	89	-598	0.0852	1410	Computer Game Design	-614
5	1004 m^2	0.7517	Sacramento	running	0.2155	0.7358	258	1460	-77	1.398	-229	Bioengineering	1314
2	1149 m^2	0.6177	Santa Ana	boxing	-0.5206	0.9225	2468	1003	1896	3.3683	867	Statistics	-257
4	-154 m^2	0.0249	Santa Ana	track & field	1.0939	-0.114	-991	970	1018	-0.2564	1406	Games and Playable Media	420
1	-211 m^2	0.8551	Santa Clarita	motor sports	-0.4463	1.3583	850	281	2163	0.165	1620	Computer Science	1723
0	-227 m^2	2.7257	Riverside	ice hockey	0.3695	0.242	-440	-62	-412	1.3818	-591	Applied Mathematics	-282
5	745 m^2	0.228	Sacramento	golf	2.4604	0.4302	-803	-1311	1444	-0.3395	1455	Natural Language Processing	747
1	-453 m^2	0.7071	Santa Clarita	motor sports	2.0263	0.804	-145	-487	794	0.6276	851	Computer Science	-658
2	768 m^2	-0.4973	Santa Ana	volleyball, boxing	-0.5505	0.0169	1041	2739	2467	-0.4649	724	Statistics	-113
3	277 m^2	0.0098	San Jose	basketball, football	-0.2981	-0.3463	278	258	3288	-0.3885	848	Biotechnology	842
2	1376 m^2	0.117	Stockton	boxing	0.5011	0.1025	466	412	136	-1.9024	537	Computer Game Design	53
1	334 m^2	0.0923	Santa Clarita	motor sports	0.5862	0.0228	84	912	1053	1.3963	315	Computer Science	-20
1	1525 m^2	1.3046	Santa Clarita	motor sports	0.0619	0.9696	624	-954	1089	1.3802	1243	Computer Science	217
5	211 m^2	-1.176	Irvine	golf	0.5518	0.955	-147	133	-145	1.7119	-534	Electrical Engineering	-609
0	903 m^2	0.2714	Fremont	tennis	0.4193	2.219	859	-535	344	0.7948	566	Computer Engineering	922
3	128 m^2	1.0863	Santa Ana	soccer, football	1.3958	1.5542	88	-81	1209	0.06	1319	Biotechnology	-169
5	238 m^2	0.8639	Sacramento	boxing, volleyball	2.258	1.7449	-198	1137	290	1.3498	-165	Bioengineering	-505
0	640 m^2	2.0398	Chula Vista	ice hockey	0.6779	0.9541	1359	1888	-284	0.9389	1050	Electrical Engineering	367
2	1310 m^2	0.7077	Bakersfield	volleyball	0.6502	0.3801	487	536	1532	1.9216	-36	Games and Playable Media	-14
4	734 m^2	1.3564	Anaheim	badminton	-1.0497	0.7182	395	502	-790	0.4457	1159	Human Computer Interaction	1397
1	603 m^2	1.0585	Santa Clarita	motor sports	1.4287	0.3995	-263	-666	1066	-0.4163	881	Computer Science	678
5	967 m^2	-1.1195	Sacramento	running	1.5928	0.1784	-1404	613	1178	-0.6628	-116	Bioengineering	-972
3	-636 m^2	-0.0456	san jose	basketball	0.43	0.2998	-35	-956	2915	-0.29	1266	Technology and Information Management	181
0	-118 m^2	1.3659	Los Angeles	tennis	N/A	0.2272	1421	471	1236	1.2275	1209	Data Science	-497
2	2944 m^2	1.2599	San Jose	boxing	-0.0098	1.3084	-191	-27	1546	0.6684	1741	Games and Playable Media	-1170
4	363 m^2	1.2968	Fresno	track & field	1.6273	1.0511	1426	670	-364	1.4346	1261	Human Computer Interaction	1448
3	-1400 m^2	-0.1853	San Jose	basketball	0.5595	1.2946	825	-1499	1055	1.1044	718	Technology and Information Management	-479
5	797 m^2	-0.3183	Sacramento	golf	1.186	-0.1077	765	910	87	0.6893	854	Statistics	-881
4	974 m^2	0.5764	Moreno Valley	track & field	0.313	-0.8537	254	261	1804	1.4083	453	Human Computer Interaction	1416
2	727 m^2	0.9113	Santa Ana	volleyball, boxing	0.5336	N/A	323	192	812	0.8675	2210	Games and Playable Media	-765
3	-362 m^2	0.0373	San Diego	soccer, football	-1.2061	1.2701	-884	-256	279	-0.0522	1646	Robotics Engineering	844
3	522 m^2	-0.5391	Modesto	soccer, basketball	1.0838	1.5791	1010	507	370	1.1365	-380	Technology and Information Management	293
1	1951 m^2	-0.0957	Stockton	MOTOR SPORTS	1.1823	0.1808	162	433	1086	1.8766	1595	Computer Science	588
0	142 m^2	0.233	Fremont	tennis	0.2588	1.6066	-1268	983	-581	0.6182	508	Applied Mathematics	-1161
3	312 m^2	0.5712	Modesto	football, soccer	0.7633	0.3806	685	-1491	2651	0.6319	-811	bIOTECHNOLOGY	-306
3	-282 m^2	-0.0939	San Diego	soccer, football	1.7461	0.0732	1083	1866	1044	0.5684	755	Biotechnology	128
2	211 m^2	0.0593	Bakersfield		1.0044	-0.0258	341	-899	-133	1.1127	2568	Statistics	285
3	74 m^2	-0.1059	San Jose	soccer	1.0265	0.9166	-287	-817	1452	-0.2224	1493	None	72
5	2525 m^2	0.4556	Long Beach	running	1.4921	1.0603	-35	-982	-524	-0.7769	1015	Electrical Engineering	435
2	1120 m^2	-0.0908	Oakland	baseball, volleyball	-0.6463	-0.6719	1216	1008	1575	1.3951	512	Data Science	326
0	-661 m^2	0.2933	Chula Vista	ice hockey	1.3178	-0.2593	258	-268	1959	0.1226	944	Computer Game Design	924
4	768 m^2	1.0673	Fresno	track & field	0.958	-0.4218	506	2235	1645	-0.3368	-831	Bioinformatics	808
4	1500 m^2	1.6918	SAN FRANCISCO	track & field	0.3641	0.0191	508	717	1306	2.047	1517	Human Computer Interaction	923
1	1597 m^2	1.0701	Santa Clarita	motor sports	-2.1661	0.9536	-740	-1109	1958	1.0556	800	Computer Science	-1249
3	124 m^2	0.1506	san jose	football	0.6243	1.4922	801	-577	1005	1.4397	774	Biotechnology	-1206
3	341 m^2	0.7412	Modesto	basketball, soccer	0.0131	0.0428	243	-483	2518	3.0108	1347	Biotechnology	-346
3	124 m^2	-0.9286	San Jose	basketball, soccer	1.9464	0.4693	1725	1423	987	-0.8687	1228	Computational Media	-149
3	612 m^2	0.2131	Modesto	basketball, football	0.5016	0.5292	171	131	2031	0.7042	915	Biotechnology	1151
3	n/a	0.1131	San Jose	basketball	0.0671	0.0499	-498	750	873	1.5512	-884	Biotechnology	-845
2	1014 m^2	0.2037	Bakersfield	baseball	-0.1511	1.1401	2070	-199	557	1.1436	1453	Games and Playable Media	1298
1	1299 m^2	0.6858	Santa Clarita	motor sports	1.2012	0.4725	517	-428	1030	-0.0793	-218	Computer Science	219
1	1300 m^2	2.0913	Santa Clarita	motor sports	1.1012	0.6714	-1841	854	1486	-0.0315	-101	Computer Science	-285
0	341 m^2	1.8031	Fremont	tennis	0.1967	2.522	-2062	597	634	0.0292	27	Computational Media	-380
4	976 m^2	0.4073	Anaheim	track & field	-0.6724	-0.4318	2030	-510	1534	-0.2033	279	Human Computer Interaction	1436
1	767 m^2	0.8446	Santa Clarita	motor sports	-0.5191	0.9923	-427	-1187	354	-0.0557	798	Technology and Information Management	n/a
4	1145 m^2	0.7145	San Francisco	badminton	1.3421	0.3013	547	-1896	77	1.5127	1031	Bioinformatics	1956
2	650 m^2	1.1543	Oakland	boxing	-1.0278	0.8095	591	875	1199	0.4167	1245	Games and Playable Media	153
1	-394 m^2	-0.0447	Santa Clarita	motor sports	-0.8201	0.5065	851	1064	67	0.2569	572	Computer Science	-345
3	1187 m^2	0.7986	Oakland	basketball	1.3585	-0.6723	257	108	629	2.3087	1749	Computational Media	-279
4	917 m^2	1.2042	Anaheim	track & field	-0.6773	0.5549	1725	-123	1034	1.7526	1817	Bioinformatics	617
5	961 m^2	0.5816	Long Beach	running	2.3626	1.0201	-260	1118	1456	1.2872	869	Natural Language Processing	-187
5	-891 m^2	1.4008	Sacramento	running	0.3218	0.8732	-117	1920	-1533	2.0641	816	Electrical Engineering	-205
0	97 m^2	0.4888	Santa Clarita	tennis	1.1303	0.5878	-935	-605	-754	0.4059	226	Computer Engineering	190
1	325 m^2	0.1024	Santa Clarita	motor sports	-0.4226	0.5385	-608	-1744	1250	1.5051	585	Computer Science	970
5	1488 m^2	None	Sacramento	golf	2.2549	-0.0379	97	1214	1083	0.2153	815	Electrical Engineering	1803
5	2594 m^2	-1.6503	Long Beach	running	0.7936	-0.3363	672	-1323	-387	1.4231	820	Natural Language Processing	-45
1	2249 m^2	-0.4719	Santa Clarita	motor sports	-0.0833	0.7544	506	-16	1335	2.0804	2317		-346
2	-258 m^2	0.7393	Stockton	baseball	-1.1548	0.7514	-2085	-549	993	1.0891	1674	Statistics	491
4	-16 m^2	0.7125	San Francisco	track & field	-0.4035	0.7793	-18	-1080	1458	0.9052	1350	Human Computer Interaction	163
5	803 m^2	-0.2142	Irvine	golf	1.8784	1.2947	-226	262	944	-0.2243	1236	Natural Language Processing	119
2	552 m^2	1.3128	Santa Ana	boxing, baseball	2.8423	2.061	1089	-473	-212	1.0544	628	Statistics	58
4	611 m^2	-0.4371	Fresno	badminton	0.3623	0.2732	559	2403	829	0.2663	1635	bIOINFORMATICS	292
5	538 m^2	1.4501	Sacramento	NULL	0.5817	-0.4631	-687	1110	309	1.434	-981	Computer Game Design	-489
2	401 m^2	1.206	bAKERSFIELD	baseball	1.2514	-0.2091	260	196	1026	0.1933	1154	Statistics	587
5	1963 m^2	-0.202	Sacramento	running	0.7173	1.2791	1094	657	726	0.7761	-325	Electrical Engineering	383
1	1784 m^2	1.1184	Santa Clarita	MOTOR SPORTS	0.8255	0.2534	1723	270	2156	0.5587	455	Computer Science	-980
3	-1640 m^2	0.0746	San Jose	basketball, football	0.997	0.6575	?	669	1786	-0.6401	1120	Robotics Engineering	475
1	1213 m^2	1.4306	Santa Clarita	motor sports	-0.9565	1.9725	1238	1063	332	0.4687	2649	Computer Science	303
0	651 m^2	0.7335	Los Angeles	ice hockey	0.8106	1.3669	-702	-1738	265	1.7422	-573	Human Computer Interaction	-398
3	405 m^2	1.1576	San Jose	football	0.324	1.6791	688	96	2190	0.4247	294	Robotics Engineering	33
1	1212 m^2	0.6134	Santa Clarita	motor sports	0.6142	-0.4706		1315	939	-0.7779	59	Robotics Engineering	506
0	50 m^2	2.0461	Riverside	ice hockey	1.2639	-0.4895	1138	2160	1006	0.3216	512	Computer Game Design	63
1	1435 m^2	0.6082	San Jose	MOTOR SPORTS	1.2421	1.8434	1125	849	1450	-0.3635	1319	Computer Science	-1340
1	888 m^2	1.0257	Santa Clarita	motor sports	1.6406	1.0608	-757	-1051	899	0.2424	721	Computer Science	66
4	-438 m^2	-0.6693	Fresno	badminton	-0.2416	0.5478	451	1887	-996	-0.3363	991	Human Computer Interaction	-240
5	333 m^2	0.3206	Stockton	golf	-0.2307	0.3757	862	862	-1076	-0.2399	499	Bioengineering	272
2	1305 m^2	-0.762	Bakersfield	baseball	1.0801	1.7996	1990	2791	320		1075	Games and Playable Media	-159
5	858 m^2	0.4699	Long Beach	running	2.1519	1.3628	579	7	379	1.9615	579	Natural Language Processing	100
4	2556 m^2	1.1533	San Francisco	track & field	0.3886	0.3313	-1390	-387	1087	-1.4059	2346	Bioinformatics	2082
2	534 m^2	0.1112	Chula Vista	baseball, volleyball	1.1868	0.6798	1386	885	829	0.0722	2190	Games and Playable Media	-846
2	296 m^2	0.2863	Santa Ana	boxing	0.4529	-0.0172	830	260	1725	1.8885	192	Human Computer Interaction	700
4	1135 m^2	1.5874	Fresno	track & field	1.8042	0.797	565	960	314	1.198	190	Bioinformatics	434
0	1708 m^2	0.5854	Chula Vista	ice hockey	0.6337	0.8437	-895	1004	664	-0.6552	-1346	Computer Game Design	671
1	-577 m^2	-0.518	Santa Clarita	motor sports	0.8285	1.1674	9	304	1454	0.603	-795	Computer Science	816
3	-226 m^2	1.3909	San Jose	N/A	0.7152	-0.3302	460	-11	-317	2.3794	1114	Technology and Information Management	-479
3	-644 m^2	-0.4622	San Diego	soccer	0.8592	0.9239	541	-2189	1954	1.9467	76	Biotechnology	149
1	-1101 m^2	1.208	Santa Clarita	MOTOR SPORTS	1.3659	1.3205	-832	-414	878	0.1099	1669	Computer Science	-791
4	-870 m^2	0.8024	Moreno Valley	TRACK & FIELD	0.3101	-0.2377	1341	-497	-586	1.0911	97	Human Computer Interaction	60
2	517 m^2	0.563	Stockton	VOLLEYBALL, BOXING	-0.1994	-0.0634	348	-91	1569	0.9414	292	Robotics Engineering	904
0	357 m^2	0.9233	CHULA VISTA	TENNIS	-0.5012	0.7166	17	-360	637	-1.1628	742	Computational Media	339
3	721 m^2	0.6956	Modesto	football	1.4037	0.5382	855	333	977	1.8006	1268	Robotics Engineering	-57
0	-315 m^2	0.6164	Los Angeles	tennis	1.3712	0.6621	425	3333	793	2.2586	1035	Computer Game Design	-360
2	687 m^2	0.7815	Santa Ana	BOXING	-1.8572	-0.0084	-162	-151	999	1.1849	1407	Games and Playable Media	1118
5	584 m^2	0.3937	Long Beach	running	0.8647	1.4958	923	1004	-1041	0.8947	1295	Natural Language Processing	-539
2	20 m^2	-0.5397	Bakersfield	boxing, volleyball	-0.271	1.7911	-1125	788	-439	0.5505	681	Statistics	-517
3	1027 m^2	0.0749	San Jose	basketball	0.1321	0.638	944	1038	1028	0.7272	1270	Technology and Information Management	-269
5	1015 m^2	-0.7152	Sacramento	running	0.0923	1.6629	-1296	-1258	323	0.1479	179	Bioengineering	-1656
2	-222 m^2	0.003	Bakersfield	boxing	-0.7946	0.6788	447	2238	-453	0.3571	1598	Games and Playable Media	1168
1	-64 m^2	-0.8559	Santa Clarita	motor sports	1.1511	0.3967	-273	673	2749	1.6179	811	Computer Science	1672
1	1286 m^2	1.3579	Santa Clarita	motor sports	1.654	-0.7462	787	473	310	0.9656	2122	cOMPUTER sCIENCE	-790
4	1776 m^2	0.5482	Moreno Valley	track & field	-0.4446	-0.3864	424	1142	1614	-0.3766	-799	Human Computer Interaction	-700
1	1010 m^2	0.9585	Santa Clarita	motor sports	0.9138	0.8593	454	635	509	-0.2155	433	Computer Science	-682
0	1145 m^2	0.444	Chula Vista	tennis	1.1555	0.8112	922	269	1916	-0.9442	1451	Computational Media	819
1	1412 m^2	2.35	Santa Clarita	motor sports	1.0199	1.3651	860	1413	-57	1.2112	926	Computer Science	856
5	-236 m^2	0.5757	Irvine	running	-1.3279	0.5294	9	-2102	-659	1.4846	1318	NATURAL LANGUAGE PROCESSING	389
4	362 m^2	1.0901	Anaheim	track & field	0.4701	1.259	696	794	-1527	-1.6639	1466	Games and Playable Media	292
2	226 m^2	None	Oakland	volleyball	-0.4796	-0.6668	848	195	236	1.1066	409	Games and Playable Media	102
5	-543 m^2	1.1347	Irvine	running	0.8055	0.5136	-738	246	664	-0.9348	388	Electrical Engineering	-462
1	1300 m^2	1.9991	Santa Clarita	MOTOR SPORTS	1.9967	0.5208	-412	2047	1271	0.3528	934	Computer Science	413
4	200 m^2	0.2339	Moreno Valley	track & field	-0.3601	1.4845	-568	-303	1056	1.0831	571	Human Computer Interaction	303
5	207 m^2	0.7229	Long Beach	running	0.3566	1.0649	1017	368	-911	1.0315	657	Natural Language Processing	599
5	954 m^2	0.9449	Long Beach	running	1.2284	0.7252	-662	272	-205	-0.7292	502	Natural Language Processing	1093
0	-422 m^2	1.358	Chula Vista	tennis	1.0399	0.5071	2425	-1640	1790	-0.6177	-154	Computational Media	-909
2	1248 m^2	0.0692	Bakersfield	boxing	0.1273	0.743	918	245	2271	-0.5357	424	Statistics	-297
5	1160 m^2	1.5929	Irvine	golf	0.8186	0.4937	-665	-1241	821	0.5155	1029	Bioengineering	-126
2	1764 m^2	0.6209	Santa Ana	boxing, volleyball	1.0166	0.6982	390	-279	52	0.9736	1041	Statistics	300
3	419 m^2	2.4967	San Diego	football, basketball	0.4586	1.4361	644	1142	597	?	1300	Biotechnology	-44
4	527 m^2	0.4343	Fresno	badminton	1.4999	-0.5646	701	1097	1700	1.4694	-333	Biotechnology	1058
4	-706 m^2	0.9006	Anaheim	badminton	-1.0684	1.5438	2232	-1069	1530	-0.4168	-524	Bioinformatics	415
4	432 m^2	0.9879	San Francisco	n/a	0.2721	0.1321	2188	427	1109	0.5621	303	Human Computer Interaction	78
0	-224 m^2	1.6341	Los Angeles	boxing	1.7452	1.6235	958	54	-761	0.7589	997	Computer Engineering	-1000
0	-236 m^2	0.4334	Fremont	ice hockey	0.4669	0.7068	852	-280	-782	0.966	1844	Computer Game Design	295
1	90 m^2	1.7124	Santa Clarita	motor sports	-0.4067	0.444	178	-1292	588	-0.2347	1019	Computer Science	1116
5	-205 m^2	-0.2917	LONG BEACH	running	0.0234	0.0297	-839	-78	-390	0.0368	-425	Computer Science	-347
4	2040 m^2	1.0997	Moreno Valley	track & field	-0.0775	1.0942	1490	535	374	-0.552	-135	Human Computer Interaction	0
5	665 m^2	-0.0319	Sacramento	golf	-0.0229	0.8037	2028	776	753	1.8862	-1247	Bioengineering	-918
1	1958 m^2	1.6545	Santa Clarita	motor sports	-0.0395	0.0352	-1015	1654	470	-1.183	1157	Computer Science	124
2	1718 m^2	0.023	Santa Ana	volleyball	1.5228	2.3094	n/a	1729	2444	0.4974	1097	Statistics	-126
2	2629 m^2	0.4276	Oakland	baseball, boxing	-0.4791	0.9019	845	-1059	1592	-0.2406	1051	Games and Playable Media	124
1	1187 m^2	0.5401	Santa Clarita	motor sports	1.1736	0.5601	-274	1250	1739	2.1851	175	Computer Science	-343
0	30 m^2	0.8857	Fremont	ice hockey	1.3493	1.0192	852	1042	776	0.5368	-276	Computational Media	797
3	18 m^2	0.6303	San Bernardino	basketball, football	1.1199	-0.1228	1317	127	1188	-0.9724	733	Games and Playable Media	-473
0	265 m^2	0.3477	Fremont	tennis	0.4571	-0.2367	459	852	845	3.3044	731	Computational Media	162
0	783 m^2	0.7493	Fremont	ice hockey	0.6598	1.1276	-722	-298	-1341	-0.1091	-264	Computer Engineering	-1068
0	-265 m^2	1.3637	Fremont	tennis	0.5124	0.6253	16	903	1300	0.3299	-521	Applied Mathematics	538
4	761 m^2	0.5912	San Diego	NULL	1.9073	0.6465	1418	1502	1116	0.2409	551	Human Computer Interaction	1270
2	2411 m^2	-0.0647	Santa Ana	baseball	-0.5835	0.6819	305	144	789	2.6448	-353	Statistics	2167
